id,artist_name,artist_tags,embedding
1,21 Savage,"gangsta rap, hip hop, pop rap, southern hip hop, trap",
2,Ariana Grande,"contemporary r&b, dance-pop, pop, r&b, trap soul",
3,Avicii,"dance-pop, edm, electro house, electronic, electropop, festival progressive house",
4,BLACKPINK,"hip hop, k-pop, pop",
5,BTS,"k-pop, pop",
6,Bad Bunny,"hip hop, latin, reggaeton, trap latino",
7,Beyoncé,"alternative r&b, americana, contemporary r&b, country, dance, dance-pop",
8,Billie Eilish,"alternative pop, alternative r&b, art pop, bedroom pop, contemporary r&b, electronic",
9,Calvin Harris,"club, dance, dance-pop, edm, electro house, electronic",
10,Camila Cabello,"dance-pop, electropop, hyperpop, latin pop, pop, r&b",
11,Cardi B,"alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap",
12,Coldplay,"alternative rock, art pop, britpop, dream pop, piano rock, pop",
13,Daddy Yankee,"hip hop, latin, latin pop, reggae, reggaeton",
14,David Guetta,"dance, dance-pop, electro house, electronic, electropop, festival progressive house",
15,Demi Lovato,"dance-pop, electropop, pop, pop rock, teen pop",
16,Diplo,"edm, electronic, electronica, festival trap, future bass, hip hop",
17,Drake,"alternative r&b, contemporary r&b, hardcore hip hop, hip hop, pop, pop rap",
18,Dua Lipa,"alternative pop, boogie, contemporary r&b, dance-pop, dream pop, electropop",
19,Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",
20,Ellie Goulding,"club, contemporary r&b, dance, dance-pop, dream pop, edm",
21,Eminem,"boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap",
22,Fall Out Boy,"alternative rock, electropop, emo, emo pop, indie rock, pop",
23,Frank Ocean,"alternative r&b, contemporary r&b, pop, r&b",
24,Future,"hip hop, southern hip hop, trap",
25,H.E.R.,"alternative r&b, r&b, trap",
26,Halsey,"alternative pop, alternative r&b, alternative rock, contemporary r&b, electropop, indie pop",
27,Imagine Dragons,"alternative pop, alternative rock, electropop, indie pop, indietronica, pop",
28,J Balvin,"hip hop, latin, latin pop, pop, reggaeton",
29,J. Cole,"hip hop, conscious hip hop, boom bap, pop rap",
30,Jay-Z,"boom bap, chipmunk soul, east coast hip hop, hardcore hip hop, hip hop, pop",
31,Justin Bieber,"dance-pop, pop, pop rap, r&b, teen pop",
32,Kacey Musgraves,"alternative country, americana, contemporary country, country, country pop, easy listening",
33,Kanye West,"chipmunk soul, christian hip hop, conscious hip hop, electropop, experimental hip hop, gospel",
34,Karol G,"latin, reggaeton, latin pop",
35,Katy Perry,"bubblegum pop, dance-pop, disco, electropop, pop, pop rock",
36,Kendrick Lamar,"alternative hip hop, conscious hip hop, hardcore hip hop, hip hop, jazz rap, pop",
37,Kygo,"dance, deep house, downtempo, edm, electronica, house",
38,Lady Gaga,"americana, dance, dance-pop, electro house, electronic, electropop",
39,Lil Wayne,"gangsta rap, hip hop, pop, pop rap, r&b, rap rock",
40,Linkin Park,"alternative metal, alternative rock, metal, nu metal, rap metal, rap rock",
41,Luis Fonsi,"latin, latin pop, pop",
42,Maluma,"latin, latin pop, reggaeton, trap latino",
43,Maren Morris,"contemporary country, country, country pop, folk rock",
44,Marshmello,"edm, future bass, hip hop, progressive house, trap edm",
45,Martin Garrix,"big room house, dance-pop, edm, electro house, festival progressive house, tropical house",
46,Megan Thee Stallion,"hip hop, pop rap, southern hip hop, trap",
47,Metro Boomin,"hip hop, trap",
48,Miley Cyrus,"contemporary r&b, dance-pop, electropop, pop, pop rock, power pop",
49,Nicki Minaj,"east coast hip hop, electronic, hip hop, pop, pop rap, r&b",
50,Nicky Jam,"latin, reggaeton, latin pop",
51,Ozuna,"latin, reggaeton, trap latino",
52,Post Malone,"alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap",
53,Rihanna,"contemporary r&b, dance, dance-pop, dancehall, electro house, electropop",
54,Rita Ora,"contemporary r&b, dance-pop, electropop, pop, pop rock",
55,SZA,"alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop",
56,Sam Smith,"acoustic rock, folk rock, indie folk, indie pop, indie rock, singer-songwriter",
57,Selena Gomez,"alternative pop, alternative r&b, art pop, brostep, contemporary r&b, dance-pop",
58,Shakira,"latin, latin pop, pop, pop rock",
59,Shawn Mendes,"folk pop, pop, pop rock, pop soul, teen pop",
60,Skrillex,"brostep, complextro, drumstep, dubstep, edm, electro house",
61,Snoop Dogg,"g-funk, gangsta rap, hip hop, west coast hip hop",
62,Taylor Swift,"alternative pop, contemporary country, country, country pop, electropop, indie folk",
63,The Chainsmokers,"dance-pop, edm, electro house, electronic, electropop, future bass",
64,The Weeknd,"alternative r&b, contemporary r&b, dance-pop, hypnagogic pop, pop, r&b",
65,Travis Scott,"experimental hip hop, hip hop, pop rap, southern hip hop, trap",
66,Zedd,"bass house, club, complextro, dance, dance-pop, deep house",
