artist_name,artist_tags,embedding
21 Savage,"gangsta rap, hip hop, pop rap, southern hip hop, trap",
Ariana Grande,"contemporary r&b, dance-pop, pop, r&b, trap soul",
Avicii,"dance-pop, edm, electro house, electronic, electropop, festival progressive house",
BLACKPINK,"hip hop, k-pop, pop",
BTS,"k-pop, pop",
Bad Bunny,"hip hop, latin, reggaeton, trap latino",
Beyoncé,"alternative r&b, americana, contemporary r&b, country, dance, dance-pop",
Billie Eilish,"alternative pop, alternative r&b, art pop, bedroom pop, contemporary r&b, electronic",
Calvin Harris,"club, dance, dance-pop, edm, electro house, electronic",
Camila Cabello,"dance-pop, electropop, hyperpop, latin pop, pop, r&b",
Cardi B,"alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap",
Coldplay,"alternative rock, art pop, britpop, dream pop, piano rock, pop",
Daddy Yankee,"hip hop, latin, latin pop, reggae, reggaeton",
David Guetta,"dance, dance-pop, electro house, electronic, electropop, festival progressive house",
Demi Lovato,"dance-pop, electropop, pop, pop rock, teen pop",
Diplo,"edm, electronic, electronica, festival trap, future bass, hip hop",
Drake,"alternative r&b, contemporary r&b, hardcore hip hop, hip hop, pop, pop rap",
Dua Lipa,"alternative pop, boogie, contemporary r&b, dance-pop, dream pop, electropop",
Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",
Ellie Goulding,"club, contemporary r&b, dance, dance-pop, dream pop, edm",
Eminem,"boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap",
Fall Out Boy,"alternative rock, electropop, emo, emo pop, indie rock, pop",
Frank Ocean,"alternative r&b, contemporary r&b, pop, r&b",
Future,"hip hop, southern hip hop, trap",
H.E.R.,"alternative r&b, r&b, trap",
Halsey,"alternative pop, alternative r&b, alternative rock, contemporary r&b, electropop, indie pop",
Imagine Dragons,"alternative pop, alternative rock, electropop, indie pop, indietronica, pop",
J Balvin,"hip hop, latin, latin pop, pop, reggaeton",
J. Cole,"hip hop, conscious hip hop, boom bap, pop rap",
Jay-Z,"boom bap, chipmunk soul, east coast hip hop, hardcore hip hop, hip hop, pop",
Justin Bieber,"dance-pop, pop, pop rap, r&b, teen pop",
Kacey Musgraves,"alternative country, americana, contemporary country, country, country pop, easy listening",
Kanye West,"chipmunk soul, christian hip hop, conscious hip hop, electropop, experimental hip hop, gospel",
Karol G,"latin, reggaeton, latin pop",
Katy Perry,"bubblegum pop, dance-pop, disco, electropop, pop, pop rock",
Kendrick Lamar,"alternative hip hop, conscious hip hop, hardcore hip hop, hip hop, jazz rap, pop",
Kygo,"dance, deep house, downtempo, edm, electronica, house",
Lady Gaga,"americana, dance, dance-pop, electro house, electronic, electropop",
Lil Wayne,"gangsta rap, hip hop, pop, pop rap, r&b, rap rock",
Linkin Park,"alternative metal, alternative rock, metal, nu metal, rap metal, rap rock",
Luis Fonsi,"latin, latin pop, pop",
Maluma,"latin, latin pop, reggaeton, trap latino",
Maren Morris,"contemporary country, country, country pop, folk rock",
Marshmello,"edm, future bass, hip hop, progressive house, trap edm",
Martin Garrix,"big room house, dance-pop, edm, electro house, festival progressive house, tropical house",
Megan Thee Stallion,"hip hop, pop rap, southern hip hop, trap",
Metro Boomin,"hip hop, trap",
Miley Cyrus,"contemporary r&b, dance-pop, electropop, pop, pop rock, power pop",
Nicki Minaj,"east coast hip hop, electronic, hip hop, pop, pop rap, r&b",
Nicky Jam,"latin, reggaeton, latin pop",
Ozuna,"latin, reggaeton, trap latino",
Post Malone,"alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap",
Rihanna,"contemporary r&b, dance, dance-pop, dancehall, electro house, electropop",
Rita Ora,"contemporary r&b, dance-pop, electropop, pop, pop rock",
SZA,"alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop",
Sam Smith,"acoustic rock, folk rock, indie folk, indie pop, indie rock, singer-songwriter",
Selena Gomez,"alternative pop, alternative r&b, art pop, brostep, contemporary r&b, dance-pop",
Shakira,"latin, latin pop, pop, pop rock",
Shawn Mendes,"folk pop, pop, pop rock, pop soul, teen pop",
Skrillex,"brostep, complextro, drumstep, dubstep, edm, electro house",
Snoop Dogg,"g-funk, gangsta rap, hip hop, west coast hip hop",
Taylor Swift,"alternative pop, contemporary country, country, country pop, electropop, indie folk",
The Chainsmokers,"dance-pop, edm, electro house, electronic, electropop, future bass",
The Weeknd,"alternative r&b, contemporary r&b, dance-pop, hypnagogic pop, pop, r&b",
Travis Scott,"experimental hip hop, hip hop, pop rap, southern hip hop, trap",
Zedd,"bass house, club, complextro, dance, dance-pop, deep house",
